,Value
Golpata Extraction Capacity,35.08147894337169
Catching Capacity Mangrove,2.283097086649638
Catching Capacity Household,2.260565357160741
Crop Production Capacity,1.8302785117017808
Mangrove Fishers in Loan,31.0
Household Fishers in Loan,11.0
Farmers in Loan,9.0
Golpata Stock,211.4151074102058
n_bawali,300.0
n_mangrove_fisher,300.0
n_household_fisher,300.0
n_farmer,300.0
covariance,0.1
chosen_natural_hazard_loss,75.0
chosen_fertilizer_cost,0.625
chosen_land_crop_productivity,20.0
chosen_golpata_natural_growth_rate,62.5
chosen_golpata_conservation_growth_rate,137.5
