,Value
Golpata Extraction Capacity,38.976184446952026
Catching Capacity Mangrove,3.294988252235291
Catching Capacity Household,2.6510476766680244
Crop Production Capacity,2.51778157318916
Mangrove Fishers in Loan,0.0
Household Fishers in Loan,0.0
Farmers in Loan,300.0
Golpata Stock,-31.010956450972166
n_bawali,300.0
n_mangrove_fisher,300.0
n_household_fisher,300.0
n_farmer,300.0
covariance,0.1
chosen_natural_hazard_loss,75.0
chosen_fertilizer_cost,0.625
chosen_land_crop_productivity,20.0
chosen_golpata_natural_growth_rate,62.5
chosen_golpata_conservation_growth_rate,137.5
