Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.95654810740635,2.270557831666517,2.3696880747941704,4.448401758397029,37,0,0,107636.13229766421,143
86.69362893084659,2.2552717196424217,2.427934581781753,2.1230012340179103,41,0,0,96350.34591830503,300
198.6568377722675,2.2502582763068895,2.4547847814524033,2.2549149646417366,54,0,4,82656.18664901808,201
288.38953496417577,2.239127486081869,2.473710256865495,1.3023489071490741,61,0,27,68915.28578703835,300
-1069.056849576966,2.2352145576334768,2.4679135058293697,1.6500271993645472,73,0,40,53281.85163281094,246
-1291.1979564923695,2.2417774633977348,2.4572490396897564,1.1707676242190344,80,0,39,37591.283137041246,300
-379.019550125168,2.2382145982124793,2.459711750654066,1.3146124617895134,87,0,59,20527.693430105246,278
-385.03485818728313,2.233324696419806,2.47155589324525,1.1288268725254254,90,2,58,20377.693430105246,300
-107.75007848556334,2.2360304533048283,2.478927039942359,1.4667300170472883,102,2,70,21152.693430105246,241
-66.52485576633369,2.2388008488472138,2.484868050373784,1.3178438149566267,107,2,69,22702.693430105246,245
-37.4697726177394,2.2323247845341796,2.480194581883193,1.3560586665300467,112,2,74,24752.693430105246,217
-28.84100183861872,2.2350405521985715,2.4823329575788087,1.207234400452156,118,2,80,27252.693430105246,225
-20.767539058729053,2.2348127091591667,2.489025584299713,1.1658002901306688,121,2,71,30202.693430105246,212
-13.804003105007512,2.2281768775480515,2.4958112326751722,1.1855347772112885,128,3,65,21363.810808216524,177
-16.798437771919495,2.2383708575895,2.4988255582537944,0.8332407221981558,132,3,64,24213.810808216524,246
-10.355648684624592,2.2348373787662297,2.4942167691204484,1.0065716185361875,135,3,57,27263.810808216524,181
-11.374165761225866,2.2251559067871254,2.4886308664463166,0.8062669613045907,132,3,61,30488.810808216524,222
-8.024638939635791,2.220730035116548,2.477853215452233,0.8847293530579035,134,3,52,21346.49858924333,176
-10.845028288505581,2.220280258211363,2.4576424578254534,0.608167912369149,142,3,63,23971.49858924333,257
-8.232290759590573,2.230890656745245,2.4513882863115555,0.70435404359759,150,3,47,25921.49858924333,213
-8.750490517838179,2.22314518270804,2.4551833452621725,0.6048949944489597,152,4,64,28171.49858924333,243
-7.716398436518781,2.226686754234326,2.471162258292019,0.6058923319565188,155,4,48,30021.498589243332,229
-6.696940594614297,2.2299438456556184,2.4765436204881994,0.6426683564597796,157,5,78,19326.098260487277,208
-7.503460396323369,2.222369299137743,2.4666406378297507,0.5005356404210891,160,5,66,21451.098260487277,253
-5.898810379736798,2.2211689978545786,2.4632161369302943,0.581626242441547,160,5,72,23851.098260487277,212
-5.8122585821420305,2.2263564880209046,2.4664652509893585,0.5333899764869817,159,4,66,26426.098260487277,221
-4.983767157313185,2.2169058642436386,2.452028022498448,0.5580349966889809,160,4,79,29176.098260487277,202
-4.754734846085994,2.2102568077339297,2.454691735116093,0.535721457684045,164,5,70,19958.225077278385,199
-5.3864970069915685,2.214103734236999,2.4510542305167062,0.435819337333782,167,6,80,22808.225077278385,242
-3.9462666267950026,2.221326176494353,2.44844762588532,0.5305632058681806,170,5,72,25783.225077278385,185
-4.665966780074856,2.2198205684737857,2.4583020123639194,0.4276285942226868,170,5,79,28833.225077278385,230
-3.5472183081047914,2.218732212599949,2.44718557061763,0.5056711490824326,171,5,81,19327.483081975322,178
-4.889222679120109,2.224957601990449,2.4514902615124017,0.3437313934289551,169,5,80,21602.483081975322,259
-3.482595563410529,2.217526043106375,2.4512470675641946,0.44485340305477694,169,5,83,24202.483081975322,196
-3.983834682928812,2.216983602085954,2.458004034499933,0.36878945528236806,174,6,74,27077.483081975322,232
-3.531038092754777,2.2178057708454406,2.4528879932857435,0.38908030260364146,177,6,78,29602.483081975322,214
-3.305741839612694,2.2177196558928096,2.4569632958578107,0.39785874236217034,177,6,72,19829.592012725083,201
-3.839429860572028,2.215938370906237,2.454554472222721,0.3164503628741401,180,7,67,22104.592012725083,247
-3.1452782746547134,2.2185692849667342,2.448587156726797,0.3693211329198762,180,7,69,24629.592012725083,209
-3.254153075694307,2.225787213913136,2.4522669847958087,0.33660700186325393,183,7,66,27254.592012725083,224
-2.9500974043577246,2.2290658971055195,2.4603777948178602,0.35145408413482837,183,7,70,29954.592012725083,210
-2.7422488970893064,2.2201093297587615,2.4506159535137915,0.3568017236780418,178,7,58,20547.28168908644,196
-3.067759024620523,2.221928321324605,2.4438156759677203,0.3030911673634225,181,7,76,23172.28168908644,232
-2.761343611391768,2.2196586685473876,2.4380659469771095,0.3190139971503005,177,6,58,25697.28168908644,212
-2.7778781042712892,2.225024790246779,2.443249461764673,0.29865681867224103,180,7,74,28597.28168908644,225
-2.207969598939516,2.2251590509517807,2.4586531848878654,0.3482749998612902,174,7,58,19392.580233251258,176
-3.008972564043982,2.2234530375936186,2.4578932515703418,0.24478792424196422,178,7,73,22067.580233251258,256
-2.1152402451938213,2.231342984282666,2.4338206170840877,0.3244669855804124,175,6,56,24967.580233251258,184
-2.608667557081193,2.222577925703378,2.445106597037628,0.26103551443823536,172,6,71,27942.580233251258,233
-2.2726641037695843,2.2316006014512646,2.4436066436252513,0.28387812145230845,177,6,65,30692.580233251254,209
-2.175139088148079,2.2303782238142507,2.44332720544937,0.2928007432938653,176,6,68,21254.211743828393,198
-2.4971805230305857,2.2244639982515935,2.4536459705279294,0.23501754703535133,171,6,59,23779.211743828393,240
-2.0678577835729057,2.2269165746001116,2.45501392343497,0.2774088521467683,171,6,74,26529.211743828393,202
-2.317077494679166,2.2267344019258255,2.445563874042453,0.23523781984826939,174,6,67,29529.211743828393,234
-1.672181987239996,2.2324663450798576,2.4470620612743605,0.3011845572033277,173,6,65,20380.551680756293,166
-2.51767661160277,2.2315038857481753,2.4550517042305287,0.19331209738492677,171,6,67,23105.551680756293,263
-1.7889467881300054,2.22288055168027,2.4451482263057867,0.26797435515238394,176,6,70,25655.551680756293,190
-2.1404549918473266,2.231817416789505,2.4520236241658786,0.2174607610564403,180,7,65,28530.551680756293,235
-1.6187105009224945,2.2266276480116733,2.436494327566051,0.27172707090794934,173,8,63,18972.66270507035,175
-2.281521643478864,2.215686850953691,2.451815318166289,0.18485304841000746,168,8,65,21522.66270507035,259
-1.657551696762319,2.222359317166811,2.4493979996135096,0.24726521462227288,165,8,64,24147.66270507035,193
-1.9900244729455636,2.2219837741957598,2.442491033247555,0.20498812976628666,163,8,64,26897.66270507035,233
-1.6457168304975969,2.223379136057562,2.4490904453201985,0.2310312127623271,166,8,72,29897.66270507035,202
-1.5597590141072422,2.216415184107604,2.462185159687418,0.2388872317144757,162,8,63,21233.94307187533,186
-1.9345193784286343,2.2123105898801643,2.4651809508044655,0.186860607666663,165,8,77,23883.94307187533,243
-1.6034869227272248,2.218165681661737,2.447819634502227,0.21824393703849793,178,7,62,26433.94307187533,202
-1.7587788585770767,2.216482502912447,2.448733050309249,0.1934739987629725,181,6,75,29183.94307187533,228
-1.3543166025700428,2.2182783578908642,2.45509406806999,0.23491025132743823,182,6,65,20016.245572789703,172
