Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.65805353016255,3.332311665557604,2.673709124496424,2.527777496417094,0,0,2,107252.10921770801,153
81.22337359373434,3.1427779396784357,2.6603969597685113,1.6966626286091393,0,0,21,99322.42702759302,300
135.71430326073715,2.9650923091650263,2.6270064613314252,1.755177051764811,0,0,39,88769.31126027541,216
184.320727344412,2.785086732354887,2.6043203624928464,1.3134631185232124,0,0,67,78155.02433528462,300
462.4506429774706,2.6371679575061724,2.586881023987551,1.4013781380718884,1,0,75,65878.858066513,255
539.7564584902808,2.523086706923123,2.5722204247632643,1.170856229656855,1,0,44,53530.0426350537,300
3982.5368176423885,2.4335047022607235,2.561488732470743,1.245149928158431,3,0,34,53923.2004392383,279
-510.29815544748135,2.3800716046967714,2.557300466839039,1.2334509756366636,5,0,16,55296.089156841066,274
-221.74058406279693,2.335027237666944,2.5471147395717564,1.2017391926438739,8,0,6,56866.97704583228,271
-117.81436066218347,2.310006873648664,2.5341665762343486,1.2040221485774696,8,0,21,59401.05726527893,259
-72.58928001434222,2.2954034409818926,2.524724929993582,1.1707845834813992,15,0,32,49042.421278915725,246
-63.37254061410232,2.2896435246385924,2.5128211021638354,1.055563147941805,22,0,45,51802.36233537433,268
-41.65207506959772,2.282713046121474,2.5139442776923446,1.0400024425015792,28,0,55,54922.99054286316,235
-37.238904208356644,2.2786801576637106,2.510578594395845,0.9222340085600742,35,0,59,58636.12821480045,254
-26.548305570569006,2.26400687769392,2.4924431082369547,0.9086953454342074,39,0,47,49425.35393517314,222
-28.49078686414581,2.2636521676020225,2.4933601568056405,0.7723288038183429,54,0,48,53342.95134535255,268
-21.35085714133844,2.2523730912885096,2.494057019208179,0.8134346905520834,61,0,28,57023.507916406204,231
-21.93537466533389,2.25187696501371,2.4962520481601445,0.7380898763458099,67,0,22,47273.695438861505,258
-20.21405054889878,2.2496181768593884,2.5008072809408133,0.7244094078838668,74,0,18,49928.780613677976,259
-18.953117577051554,2.2470610253846215,2.5034965632578263,0.6915101438981022,83,0,16,52327.95563465998,259
-17.860927945374794,2.2493933422158183,2.507517473153806,0.6730046806153375,91,0,40,54683.33152654042,262
-16.167799220280052,2.248967015813,2.515243771943322,0.6545149867041721,95,0,44,57561.82029996313,254
-15.58000628088344,2.236535178868407,2.5189053108343433,0.618103940775266,97,0,48,46882.71647100471,257
-15.437777535767266,2.242459927089208,2.5122507502119307,0.5770273496338415,101,0,46,49179.76779441939,270
-13.56995038736435,2.24240188588266,2.5136991386011642,0.5835494025777372,105,0,37,51840.59512713541,251
-13.224534693540145,2.243629047774061,2.5089365031825084,0.5612589699006799,107,1,33,54613.65237276011,258
-12.233172714730573,2.2350273893030446,2.5127120499864932,0.5536973072510537,111,1,26,57609.362204677396,253
-11.107357614476076,2.2414669308845063,2.5112928920920674,0.5624866058802612,116,1,23,47629.8048395803,239
-11.612756039289335,2.2487282035149834,2.516018274159905,0.5111629360450898,114,1,26,50723.57849601958,266
-9.776927302198468,2.2570007336675473,2.5264520709828764,0.539774421185758,117,1,36,54060.370899270085,234
-10.058134161595637,2.2470244967003334,2.5116925036646554,0.48943141829329756,117,2,39,57535.644655585624,255
-8.98660550577197,2.2468791704455207,2.52406175072144,0.5005718777543927,117,2,49,47662.5855705166,234
-9.99567958886969,2.2460061530260433,2.519510082322078,0.4358102773418275,117,2,52,50362.89745829712,274
-8.252325564953441,2.246949951428634,2.512904162686254,0.4663749977688899,119,2,42,53254.784165316894,233
-9.158355558898252,2.2469083169790403,2.514017427834791,0.4136283366714439,121,2,40,56152.47313796254,270
-8.012623313292632,2.2504001874906563,2.523864442404294,0.4352416789203109,126,2,28,58841.79214752978,245
-8.245248533491973,2.251119325535131,2.532026910441192,0.4139819339335275,124,2,26,48377.88055416742,257
-8.335168797660543,2.242764088480065,2.5328600050624552,0.3911687567120709,126,2,27,50822.46379511457,272
-7.420738444819311,2.249300665652161,2.5341987488154714,0.41744732693068615,133,2,30,53101.52856543648,246
-7.686356249905781,2.247009243203134,2.527520405518411,0.38546171626314085,135,2,32,55832.69760824775,266
-6.808692681432532,2.239028727148853,2.5245886622156495,0.3997885519518045,131,2,43,59115.608499862086,243
-6.741507907200168,2.2511574367758347,2.536357150419826,0.38909415798759844,132,1,49,49222.55621816648,245
-6.87858963412557,2.2536088890367334,2.5358736307545557,0.3521841167678228,133,1,35,52179.43361722273,261
-6.2835150988793105,2.2517681136620897,2.5357442648940287,0.3689287999754761,129,1,43,55297.69240710086,243
-6.4466419520866305,2.2561564349755,2.540689911663438,0.33983751485621316,127,2,32,58510.15554141565,260
-5.706754514415048,2.2563357073716985,2.5404833389459416,0.3675894240147481,125,2,37,48500.00552078498,231
