Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.52362732147923,3.3074872204210086,2.6463153860474082,2.5178032661235377,0,0,4,107402.18901166153,150
82.35993591300031,3.111400458538088,2.624655271829658,1.6701391482914483,0,0,25,99623.64491343976,300
163.56352171286395,2.922422930216785,2.6092624910050772,1.7632213890188042,0,0,41,89598.87246542529,204
234.47930394731728,2.7556978054143335,2.585508281633044,1.2792871176642744,0,0,56,79516.44229293067,300
2177.50404301083,2.6038488992179265,2.5703496457699937,1.3543526770910297,0,0,50,67450.06336713441,251
2580.5752809127275,2.49944698013538,2.5546833647794926,1.1515526506824871,0,0,41,55312.54315208029,300
-761.0553757352313,2.42399129284769,2.557607468717918,1.2137844316098816,0,0,24,55784.3178646468,279
-817.5342753486286,2.3629517363136228,2.549026414131337,1.147257030615026,3,0,7,56014.843050639676,300
-471.24860873005423,2.328668859388279,2.5318829565936163,1.211931999911869,7,0,10,56014.98830812155,289
-490.5447974989853,2.3007189148140013,2.5192821748508076,1.1744330148950812,14,0,17,55773.23036118369,300
-456.6123522217992,2.2817492024419423,2.524767681768512,1.1729037366822541,22,0,34,55030.60952652411,298
-462.13801001505277,2.2720899022382146,2.5120295356593623,1.1594309942932455,31,0,52,54152.95456479082,300
-464.86140488612176,2.263978673030166,2.5097847262195554,1.1219559697162107,38,0,51,53080.10943869209,300
-467.34441003914674,2.265375782655852,2.51767504441006,1.1244536334604855,47,0,66,52704.39449491849,300
-470.0350800574609,2.2663605541277296,2.5096108208105625,1.1033536867906373,58,0,56,51726.45144180806,300
-472.86783692882165,2.2656975957849235,2.511020318907702,1.1095555101596846,64,0,42,50336.456514862526,300
-475.5199572393313,2.2666572459478704,2.5170961945173267,1.1199546223839196,70,1,28,49470.307614384015,300
-478.42211524434254,2.26663491717003,2.519562677480067,1.1298038207113437,75,1,22,47879.04939985062,300
-481.28463905592906,2.2640431424551952,2.523919029055536,1.139843026311889,79,1,24,46402.73034625049,300
-484.0471127883892,2.2641327311964052,2.5183607759589544,1.1552581715503916,89,1,33,45216.55652211593,300
-486.78043168812184,2.2651197675511554,2.516235602246214,1.157508948959802,89,1,35,44114.931712890924,300
-489.61189126632877,2.2617149635497182,2.510079165657816,1.1456763780370234,95,1,41,42728.69893609097,300
-492.48235303944546,2.263110010213514,2.5230398902789597,1.1306732686229195,97,1,51,41229.35979405209,300
-495.4030812035372,2.260941011754578,2.5313907555255355,1.1213240613039703,96,1,48,39584.24811818597,300
-498.3411664413769,2.255791796387901,2.5169911657624593,1.09911624485885,96,1,38,37888.8009284509,300
-501.23501452742687,2.254419607333721,2.519016915905804,1.127549331983845,98,1,40,36321.6414789065,300
-503.4783136103878,2.249739590595897,2.494401299655926,1.1198750124000358,104,1,28,36641.074138320066,300
-505.4509329153187,2.243780290623299,2.4885728508990126,1.144024675802202,106,1,31,37745.47815402105,300
-508.613258734569,2.2453131869734224,2.5119302591202866,1.1495241227146948,106,1,29,35399.73327819489,300
-510.791556322799,2.254497418061358,2.528330503232996,1.149214213841491,104,1,35,35907.67027232754,300
-512.7999943974148,2.250310511094342,2.5273433926296276,1.1508605954800102,107,1,45,36908.199855942265,300
-515.0376874710563,2.24868528602687,2.512794958919958,1.1288242384938325,105,1,45,37243.88994238106,300
-517.0691292348605,2.2404787158149775,2.52427862794083,1.1188926718821661,110,1,39,38177.708827348746,300
-520.2170376161883,2.241765260472731,2.5233573514648766,1.100018823013148,112,1,34,35873.77452149831,300
-522.3358948019047,2.256886180820732,2.5332023503400323,1.1341065558709031,116,1,41,36554.08868292028,300
-524.5578582584544,2.2462483129376465,2.532607691619528,1.124703220996943,115,0,24,36935.394658925165,300
-526.7794773636316,2.2458946975559226,2.5320864800509617,1.1497331615386082,118,0,30,37317.6992539123,300
-528.5394216531487,2.2440707371288964,2.5335396659272584,1.1554060007449336,114,0,25,39038.86081431274,300
-531.7962295211121,2.243133150857917,2.533290287352282,1.1310419903265818,116,0,27,36419.117997219204,300
-533.8066724813121,2.24597418192425,2.5231317630113583,1.1467694008059808,124,0,45,37413.83341263923,300
-535.9446575195021,2.2518286857363172,2.512529954709885,1.1263112057514435,125,0,40,38038.676801888905,300
-539.3556351674299,2.254272600145526,2.524583496922096,1.1403731689339014,127,0,43,34971.84162289688,300
-541.8117996080616,2.2555982995934993,2.517286318435821,1.1105313125363532,126,0,32,34673.96474506562,300
-544.0499827787102,2.2600298374170107,2.507272000931553,1.1353364310713883,124,1,42,35008.2335501847,300
-546.3047552806181,2.2567149431243982,2.5040066904338594,1.1300306465155687,128,1,34,35294.39329465259,300
-548.7602220535049,2.2481656012793003,2.4936767561635325,1.1353230593388268,131,1,36,34998.53965327984,300
-551.0545345554742,2.252713538606248,2.5004416152802453,1.1526709455588782,133,1,32,35170.03339756879,300
-553.4215634790917,2.248782217454235,2.502445698497491,1.1252512356632567,135,1,29,35130.64951907738,300
-555.7822855561137,2.2527312981489294,2.5089896456153773,1.1348351827589929,138,1,39,35109.55549571437,300
-558.1410016627003,2.2557402860839004,2.507522926957619,1.1219276040555608,131,1,38,35094.27878661315,300
-560.4076590815308,2.254588460060511,2.5027268968089946,1.1431028763848052,132,1,44,35345.97227200524,300
-562.9124554691342,2.260396639990719,2.5093367542992007,1.1270475042458614,134,1,33,34907.06274795535,300
-565.3955817550064,2.257383970560166,2.5218275275269053,1.149132222873946,122,1,43,34530.99651892615,300
-568.0580610033634,2.2525178204985243,2.5236694637811414,1.1217560969896394,123,2,28,33634.806698691624,300
-570.7667577074224,2.2558523718782313,2.534922139111488,1.1186693855439285,124,1,30,32604.58625691902,300
-573.2933005805321,2.267216347705524,2.532347283883532,1.1411086611412462,125,1,40,32102.611924901306,300
-575.812328658817,2.260610256771665,2.539457846429799,1.1359826433126043,122,1,35,31622.430497876034,300
-578.1986806310613,2.2599449814298462,2.556445017652628,1.1398829744165202,121,1,36,31527.009778366206,300
-580.8937225392864,2.262797553688047,2.556012060314473,1.144173338630826,115,1,36,30536.388244514776,300
-583.2762460635045,2.2643758449509312,2.548530066841339,1.1329944880741958,117,1,31,30452.07002428094,300
-586.021559245502,2.26371158154154,2.556715286580696,1.1230824901407572,117,1,35,29315.66179648793,300
-588.5151113189833,2.2616084164261325,2.5608593400540145,1.1491427264362317,119,1,47,28909.360783392927,300
-591.2122660090743,2.2596564175546456,2.58252969848671,1.1173956318302534,121,1,24,27912.612182129134,300
-590.4933004918328,2.2548682901071744,2.5827393924880835,1.1349380566984921,120,0,32,36822.61218212913,300
-592.8362221094759,2.2542158558823733,2.5741346644904697,1.1347593663429036,124,0,31,36853.139490963564,300
-595.1842702705324,2.254565794530924,2.5830106627969727,1.1345628069517557,125,0,31,36868.799823899775,300
-597.7028968876909,2.24772295567965,2.5888702259036607,1.1434880860571082,119,0,38,36389.782634139156,300
-600.576724424575,2.251055491894436,2.613719091212698,1.1489338739950916,123,0,34,34880.68277717585,300
-603.2761130054653,2.258239923418898,2.622005084188808,1.1342565141767957,124,0,31,33877.455892595,300
-605.8662975804335,2.250866342100402,2.62609761461456,1.1208936123353341,125,0,39,33190.92062518726,300
-608.4108789897693,2.2556095517734165,2.6330089573214277,1.139183291533891,126,0,41,32636.634538113718,300
-610.902496022969,2.2535082752610713,2.6491166990092028,1.120351223231,122,0,29,32235.94514183438,300
-613.6793097077424,2.258407358795266,2.6682027118918152,1.1334197318816042,126,0,34,31008.185455992258,300
-616.0795466811061,2.255195330692248,2.6801698826132383,1.1215629769298598,125,0,25,30872.498233235954,300
-618.8675583295679,2.257101287125712,2.6895022783922693,1.1458814367850065,126,0,36,29612.26445269703,300
-621.7482155831742,2.2581144272034197,2.7063168171889256,1.1503741909563545,120,0,37,28083.35841723931,300
-620.9568362728288,2.2592705487560094,2.7065475558926795,1.1251095432793339,124,1,33,37203.35841723931,300
-623.8054716394354,2.250439225559227,2.7246997993652875,1.1406411653338173,126,1,39,35767.31585408061,300
-626.5499717948311,2.2563991144594553,2.743174613274875,1.1310963788465322,119,1,36,34633.26540343336,300
-629.3853042291817,2.261270692982154,2.7463249062391455,1.1249691327884186,119,1,40,33235.80134381667,300
-632.0265948347975,2.2564419381792122,2.7722576774535526,1.1194215309639226,114,1,37,32401.058587530828,300
-635.206514923499,2.250662458222249,2.7705732318975733,1.1339868955070556,113,1,30,30004.290330297226,300
-638.646802439892,2.2569252072897332,2.8034645189524134,1.1353029141515596,113,1,27,26852.456532757908,300
-637.974388646788,2.246682819647903,2.807152034218522,1.138340359779753,116,1,38,35627.456532757904,300
-640.8459522764148,2.252858111674433,2.843914836711259,1.1512205006861875,118,1,39,34124.92200684115,300
-643.8031039663673,2.258235404303146,2.8812717737940177,1.124848115142723,119,1,26,32374.18210597896,300
-646.8963135763787,2.2523400709252193,2.9090224701101257,1.1443281571816377,119,1,39,30228.8742369456,300
-649.85730897728,2.2498764897167507,2.949465524752772,1.1252156628839034,120,1,36,28466.987574333194,300
-649.1538607014179,2.243715479135731,2.9869544993889376,1.1347960527017045,121,1,44,37331.987574333194,300
-652.0695211952612,2.243511688502124,3.0153235688054836,1.12824386146949,124,1,32,35701.57214218651,300
-654.9820285898824,2.2437832458513185,3.0858076188968555,1.1242161013525276,128,1,29,34080.300697785264,300
-658.0034493147298,2.2427767989815024,3.125815440594342,1.1348889038566214,128,1,36,32143.180595727958,300
-660.9269833243407,2.2403915075321237,3.1212920103470765,1.1370900358957008,130,1,40,30489.931967856955,300
-664.1222667011289,2.2436065961528384,3.182431813510005,1.1414985625377347,132,1,35,28048.610175169546,300
-663.3670942873362,2.2498432024387185,3.2222174149336906,1.1352191660093154,132,1,33,37063.610175169546,300
-666.545697599565,2.2556003915259906,3.300510903988375,1.1358634991444259,129,1,39,34670.66056970614,300
-669.4740139409876,2.2515557868140084,3.3817262891677315,1.1278282274372478,132,0,36,33003.5431795803,300
-672.6614086247209,2.2462941299594754,3.472621914889315,1.1185919722795428,132,0,37,30585.098596753738,300
-675.707012101978,2.246754110246385,3.4760388545231753,1.133869293513856,130,2,33,28577.84851270678,300
-678.6477825144634,2.2487453340311983,3.5682230687523733,1.136763377078278,132,2,33,26874.61431649983,300
-677.8977825144636,2.244857538731747,3.6606290337482172,1.1395494127193329,129,2,34,35874.61431649983,300
-680.9751123474739,2.2500534396715723,3.7802155456025774,1.1330751012090723,130,2,33,33775.3578007717,300
-684.2413587291984,2.2449138864615223,3.776395555442544,1.1454287162584367,134,2,39,31128.24329376789,300
-687.4732438200278,2.2502495411310006,3.9200895826610362,1.1403372476617062,134,2,36,28580.776530365565,300
-690.6012165796491,2.251961406646838,4.037454535836368,1.116453643334076,131,2,37,26334.655527462794,300
-689.8615614072355,2.251555447388968,4.035594304498862,1.1418509949488833,134,2,42,35304.65552746279,300
-693.3584155281991,2.2494946156262774,4.190083165458021,1.1197085904692095,132,2,28,31988.77857666675,300
-696.6366108133114,2.245885769962106,4.351173354599465,1.1287382730455415,130,2,34,29307.012249843272,300
-699.947234418645,2.2537866300767595,4.539268886449624,1.1374785550400799,134,2,37,26531.203794371508,300
-699.1506826945079,2.247205212584088,4.748476564202668,1.1451055838350248,129,2,37,35666.20379437151,300
-702.5114051834087,2.257405341664963,4.964558138830714,1.137597064317096,124,2,32,32745.10857655999,300
-705.7987572977495,2.253210620268689,5.216502017200708,1.130927517966613,124,3,38,30036.78744497162,300
-709.4918200799349,2.252865388986829,5.489669268496478,1.1394892681734494,122,3,43,26151.905376635274,300
-708.7159580109683,2.2440270571410887,5.726831109695481,1.1278420105710814,121,3,36,35226.90537663527,300
-712.2291128938512,2.2393038045579887,6.068434741235182,1.1213893276854234,121,3,35,31863.756216276706,300
-715.7089624993523,2.2459770464001423,6.404393324117458,1.1321769091026135,122,3,30,28597.192360322748,300
-719.1727007204146,2.243931749848794,6.681324411826396,1.1166187653546877,125,3,24,25377.3515192441,300
-718.4485627893798,2.2409799456718837,7.097461367699,1.1547512301254501,123,2,40,34302.3515192441,300
-722.131106810507,2.2464964799115252,7.558212542670486,1.1315141114845768,120,2,29,30447.973857973957,300
-725.4969656995777,2.252526456308956,7.950710798353757,1.1564302285153873,123,2,37,27511.98307966951,300
