Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.50801660837677,2.285014880449087,2.4045512090496883,4.418598459332882,30,0,0,107152.50436543881,156
79.71954466004597,2.2626666266828774,2.4688917342831935,2.206742089049955,36,0,0,102865.25377453213,300
132.6972088909149,2.2620540010492003,2.497612594136266,2.259948747720752,43,0,0,96147.22939595384,214
182.15024652823703,2.264477094788207,2.5127782137146353,1.3765096602286746,53,0,15,89358.42477358987,300
402.02684617010794,2.273743840393764,2.5129259875470815,1.6197642166316735,64,0,19,80687.58151342838,258
464.542614518066,2.282016961340927,2.5178744295446394,1.2445902886444922,66,0,35,71930.8298206653,300
2443.366522952211,2.2922618809310613,2.508329081402034,1.39007766321868,69,0,34,62307.530202089954,277
2648.2389057678397,2.2830883778917492,2.5074639331668465,1.1589173623136575,71,0,15,52590.69758732884,300
-13108.562512900251,2.2847681059993565,2.5054240395863268,1.2400356300071356,71,0,23,42082.81391118998,294
-13455.558990729593,2.2802394408889546,2.5031229564051367,1.1660358652208285,71,0,9,31474.251398289765,300
-4493.3052127140945,2.2886435225261788,2.5090393409439815,1.2215859212230333,76,0,17,20598.295320921156,298
-4356.589517167758,2.285736610833929,2.4911257257019948,1.1915886261148223,78,0,13,32023.295320921156,300
-220.13520483284415,2.2792246116056925,2.4759240448005215,1.4909980608925801,70,0,23,23164.750121606394,251
-247.05873083646975,2.2845271184989597,2.4967899373556683,1.0772144313990148,71,0,25,35514.7501216064,300
-73.75910198229425,2.282572358579376,2.506174011096474,1.5283376737406458,65,0,27,28134.375104171057,217
-94.27116854570951,2.2768176929843666,2.5102349568745033,0.9427360669650489,66,1,15,41209.37510417106,300
-37.271795322405,2.264295493741463,2.505577041328265,1.4728596549300499,66,1,20,34833.40393845106,195
-54.48258239209065,2.2717574682941484,2.511634205477815,0.8490146680421025,73,1,11,28388.173061073903,300
-34.26000558250557,2.271685714648508,2.510688183096576,1.1456598815437322,75,1,19,41588.1730610739,239
-30.319064379324168,2.288100764788499,2.5109038599401816,1.0396692879811835,76,1,15,35760.40287330046,244
-31.31976632592835,2.280734892278129,2.508108398728047,0.8628787990414976,72,1,28,28437.84939778578,274
-27.12909378552796,2.2846957700510027,2.5219696631187283,0.86668059469899,76,1,21,41337.84939778578,265
-22.72960218413708,2.2900965132508073,2.5141814195551935,0.9068984450129692,76,1,16,34483.02798501642,244
-24.455840040279977,2.28039915019651,2.5277368691927915,0.7464961888123376,75,1,21,27027.4271232367,278
-21.043136601079013,2.277214511382827,2.528587055415784,0.7899521247633868,75,1,19,39927.4271232367,264
-17.546802469020918,2.2757245934537567,2.50904502948315,0.870207854188594,73,1,18,33433.79454169087,237
-19.31653708877425,2.2695829337506415,2.506789488247213,0.6865366893608756,75,1,17,26378.427840974906,276
-16.635908124445866,2.270304411943374,2.5117644472718075,0.7367779910896095,76,2,23,39303.42784097491,258
-14.451197055544688,2.270483477449613,2.4924318033624653,0.7656606883990915,76,2,24,33014.18555169735,237
-15.972865423292488,2.2723875595829544,2.4737155214644395,0.6188719248216726,78,2,25,25957.96454074197,275
-14.359150454038515,2.2662296459052453,2.46749765141892,0.6383350536049683,80,2,12,38757.964540741974,264
-12.096950801415344,2.265340415749097,2.4748234617655323,0.7271186883462967,79,1,17,32386.66723309599,232
-13.732039999711313,2.2689526610153075,2.496764642274455,0.5647622204359415,76,1,16,25453.832301439983,276
-12.086868138339414,2.2737201877110356,2.499559672474347,0.617063317671016,77,1,23,38378.83230143998,258
-10.808323497128635,2.2761892206970424,2.4948402406307406,0.6437032262636083,78,1,17,31956.579168150918,239
-11.752069818336505,2.2835740534395934,2.499872615198746,0.531680874065933,77,1,24,24968.547652631165,270
-10.928157981881968,2.2787221073419124,2.5088709972063117,0.5351927177437759,75,1,22,37818.54765263117,266
-9.506181976114581,2.2841060154248884,2.5158210832269012,0.5995857791380819,75,1,17,31167.428311607815,236
-10.776684546897041,2.2841757325934484,2.5092148948036312,0.47572356175990066,75,0,16,23951.412523556162,278
-9.811421665949856,2.281161879285983,2.5079575279472937,0.5024387403793033,72,0,12,36851.412523556166,266
-8.433853507130571,2.277727638046531,2.5219655316219924,0.5762457051484716,68,0,14,30324.566028037778,232
-9.561894743804448,2.277074612565197,2.5165926855220726,0.4562703686841763,75,0,23,23399.006360652857,274
-8.597267043139931,2.269295478849429,2.5194275592593622,0.4865923050088,77,0,25,36399.00636065286,258
-7.891521610875818,2.2666529067367995,2.510904009751621,0.510192815034894,83,0,19,29827.516156923073,240
-8.444023398153103,2.2642727780945604,2.5143053799263493,0.4428163035181699,80,1,18,22855.623419622792,266
-7.8974172801790115,2.281183746375069,2.515527555155544,0.43714236227202496,78,1,9,36080.62341962279,262
-6.825367087336975,2.2915080042535507,2.5073161244732844,0.5095535209840448,78,1,19,29835.615128479352,228
-7.868353769641318,2.285606496648312,2.5049793277209886,0.3998407644136429,77,1,15,23069.81674506553,273
-7.345118244244584,2.2938873389204466,2.4976616687120563,0.4061566046518816,73,1,16,36219.81674506553,268
-5.9860561424402405,2.287302425899889,2.4942576685182285,0.506734258106112,75,2,26,30149.441663078756,218
-7.2826564876165945,2.277459371043696,2.497666061263268,0.36160945784525805,74,2,21,23646.54434864611,277
-6.352147517386006,2.2852297055839546,2.49619074237211,0.407701025218968,76,2,19,36771.544348646115,251
-6.03320737899437,2.283525899343496,2.509812912874572,0.4202893951917438,76,2,19,30490.031941497866,241
-6.352860960674819,2.281487561055119,2.511527952791983,0.37674601128855223,76,2,15,23768.476867852314,260
-6.338664432005515,2.278511498246844,2.507783750404933,0.3553721175799081,76,1,18,36643.47686785231,270
-5.583618923651015,2.273246877169565,2.500299825506585,0.41168362676783615,80,1,13,29704.629015676088,237
-6.423125656399149,2.273046045856293,2.502662654904031,0.3212556905957103,80,1,19,22280.289706876058,280
-5.692092110577206,2.269442045469648,2.5098652964426553,0.3570265495010536,82,1,31,35230.28970687606,260
-5.206773508174428,2.275332183692998,2.5062866137954063,0.38897505743829386,83,1,24,28769.397330438984,236
-5.970669759045929,2.2825691410197337,2.5166640813773458,0.30504463408384697,80,0,20,21457.101592032177,279
-5.338451457550997,2.2859754280466604,2.517245327061227,0.3353630403953874,80,0,19,34757.10159203218,262
-4.654766018203369,2.2755700649098944,2.529343723474712,0.39169751905270056,75,0,16,28688.796718912166,225
-5.406142375509453,2.2819261979781316,2.5213072636722016,0.30705178488039486,78,0,16,22142.809651420514,272
-4.706874288492326,2.2823356928145384,2.523882486085028,0.34697462710241295,79,0,16,35592.80965142051,246
-4.492575036765881,2.2741623663523223,2.5210935890688755,0.3585737075759271,79,0,22,29811.616085383626,235
-4.871807394733156,2.274561607931966,2.5129572985893653,0.30574743049911157,81,0,26,23352.808074468034,261
-4.70536601164378,2.271926200762645,2.5203533794184407,0.2989827295049396,80,0,20,36727.808074468034,264
-3.9354711146936303,2.2716363037627154,2.5244011220113456,0.364998475370863,85,0,15,30947.92631865432,217
-4.859378345496105,2.2756078156504844,2.519434450659016,0.2641896729066646,78,0,18,24525.59765760087,278
-4.164365174659047,2.281635240944496,2.524692003319755,0.31185037584065534,74,0,17,37775.59765760087,247
-3.964227847236185,2.2734476752186765,2.5246291436811754,0.3299727585711251,77,0,20,32031.652940377597,233
-4.403022483014816,2.269786678994686,2.5162700624225787,0.27219387027473996,77,0,16,25440.157739991526,266
-4.110760206881259,2.274632440994564,2.5136579809731994,0.2841064295708268,81,0,27,38690.157739991526,257
-3.7749051197172534,2.275329445073102,2.5336888550668677,0.30978072831725767,81,0,17,32494.371492877606,233
-4.257313947314113,2.271840804126444,2.5236860153589125,0.2522928141258223,78,0,19,25697.914249800153,270
-3.960208029147964,2.2660598467035635,2.5329402161482686,0.26850622549813863,79,0,16,38572.91424980015,257
-3.764368802908639,2.264658821328622,2.5300698628765796,0.2865881151526734,80,0,14,31919.27695167782,243
-4.11542906457248,2.266353964803779,2.5329791292841115,0.24924140995388824,82,0,17,24658.474597195695,270
-3.8939200382048442,2.2698447531529267,2.504253883316893,0.2478919764121531,82,0,17,37708.474597195695,267
-3.429130449133676,2.2717873072277706,2.5031101118934345,0.2972227634079269,84,0,21,31207.015694934333,229
-4.078894611050389,2.2802470154931815,2.506422094676665,0.21791069614556657,86,0,17,24014.500361160055,282
-3.539828730089838,2.2761805708834206,2.5102461605386845,0.2538698934798831,86,0,21,37239.500361160055,254
-3.231094052978927,2.2727903691169122,2.5141412948544737,0.284816623231382,87,0,19,31341.282559908777,228
-3.636897254941591,2.270017395980885,2.4971760766688944,0.2350751073046619,91,0,13,24964.2962505251,264
-3.4307542754465117,2.272003492218332,2.4930867886178563,0.24350076956613922,92,0,15,38264.296250525105,257
-3.0777912114515384,2.2743541305375965,2.497965010215736,0.2776198716388245,91,1,18,32264.017084863994,227
-3.488824700609332,2.275061996527421,2.502584301528847,0.22517563809391375,90,1,21,25910.91310042877,264
-3.290209694984299,2.272274454978686,2.50406700810324,0.2348740287494842,88,1,29,39010.91310042877,256
-3.062417899535628,2.270167677268449,2.504015732417857,0.2540340513267963,86,1,14,32696.918295395422,234
-3.4691442261311742,2.2692437640827308,2.492160251879906,0.20810438868747186,86,1,17,25657.034708387848,272
-3.1891406897462526,2.274900056934426,2.4992354479902263,0.22190546938399575,88,1,18,39007.034708387844,260
-2.8488251832018534,2.279318985525828,2.5051101021655016,0.25635024334371187,88,1,13,32859.98043411627,227
-3.3408873060482955,2.2733787505122187,2.50511151263352,0.20228325087495003,79,2,21,26066.260440632337,274
-3.0389163275443516,2.2801943470920416,2.516132931684133,0.22015152022724022,78,2,20,39141.26044063234,257
-2.7755894442005418,2.2813628313639924,2.512452397486738,0.24506179935862296,81,2,20,32998.13557979191,229
-3.2457174554335873,2.28822126979066,2.5153510035083215,0.18880218440728774,77,2,21,26004.96631845665,276
-2.9135503696721483,2.2930321592178697,2.5280802864813197,0.2127758018652597,78,2,19,39079.966318456645,254
-2.7424326848426386,2.2914114451254504,2.509958270405346,0.23093096035380578,83,3,18,32791.17050506585,235
-3.0810563574922454,2.294150933547724,2.5149196647100753,0.19363517995833876,80,2,22,25776.62450211179,270
-2.837315641503629,2.2749902135077806,2.5038956237202736,0.20344777517924878,80,2,12,38926.624502111794,257
-2.575867544380363,2.280975051378059,2.507116374859043,0.23465507839078695,80,2,23,32809.782185912976,227
-3.0111785782497793,2.2810441345524692,2.510917171672153,0.18120173712521934,79,2,26,25928.65517511192,274
-2.7888753287637313,2.28507833654049,2.5221179794460666,0.19380626952808025,80,1,26,39178.65517511192,262
-2.4787635994791333,2.290329250533117,2.5188118732603155,0.22416215548338989,76,1,13,32903.07409106443,227
-2.909132584167392,2.2823757110912135,2.525119711208163,0.17642337466134078,73,1,20,26067.850995581415,274
