,Value
Golpata Extraction Capacity,36.19576019082758
Catching Capacity Mangrove,2.2802856995266096
Catching Capacity Household,2.207119841605004
Crop Production Capacity,1.8375246401463596
Mangrove Fishers in Loan,27.0
Household Fishers in Loan,18.0
Farmers in Loan,14.0
Golpata Stock,-11.540321941389223
Fishermen,300.0
Bawali,300.0
Farmers,300.0
n_bawali,300.0
n_mangrove_fisher,300.0
n_household_fisher,300.0
n_farmer,300.0
covariance,0.1
chosen_natural_hazard_loss,75.0
chosen_fertilizer_cost,0.625
chosen_land_crop_productivity,20.0
chosen_golpata_natural_growth_rate,62.5
chosen_golpata_conservation_growth_rate,137.5
