,Value
Golpata Extraction Capacity,35.29958010469332
Catching Capacity Mangrove,2.293141996687733
Catching Capacity Household,2.2185108431890823
Crop Production Capacity,2.3075031862840834
Mangrove Fishers in Loan,26.0
Household Fishers in Loan,17.0
Farmers in Loan,31.0
Golpata Stock,220.87280572696977
n_bawali,300.0
n_mangrove_fisher,300.0
n_household_fisher,300.0
n_farmer,300.0
covariance,0.1
chosen_natural_hazard_loss,75.0
chosen_fertilizer_cost,0.625
chosen_land_crop_productivity,20.0
chosen_golpata_natural_growth_rate,62.5
chosen_golpata_conservation_growth_rate,137.5
