Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.21301336871085,2.2602098817655705,2.3834167374642505,4.466413827011821,36,0,0,107612.45549323583,146
84.6310439918376,2.251633165760192,2.4321092715292103,2.1553459586116848,51,0,0,96303.35554140403,300
159.0154920150987,2.2408872967109246,2.452382105458774,2.211104551990193,60,0,3,82287.43173461125,211
221.58825423376874,2.240714690234751,2.460843152917758,1.338752760412048,71,0,27,68223.54868975072,300
1088.9412021564694,2.2476855199880887,2.4689143405288148,1.6078593623629096,76,0,29,52391.8536188946,253
1284.0541562249023,2.246173655288212,2.467129205973524,1.2546622477517433,84,0,49,36502.44159732994,300
-2465.8294935126582,2.2405115405441944,2.466059997158032,1.3050013203155066,91,0,39,19238.929253207873,285
-2485.3653371380487,2.240170025138357,2.460293419603451,1.2197989730082146,96,0,72,18513.929253207873,300
-210.29146213064217,2.236560521852967,2.476032616411217,1.4327326408261016,97,0,57,18488.929253207873,255
-110.77146781437679,2.234083106627797,2.470820014705902,1.3533965919057187,107,1,86,19488.929253207873,257
-58.465895313512384,2.2366533118741256,2.471636625800692,1.3546695942157168,115,1,68,20988.929253207873,234
-39.25356852530136,2.235562624963539,2.4658126437196084,1.2864622219406046,122,1,81,23038.929253207873,229
-27.655995815165536,2.240623325304985,2.4869350209197267,1.2060879215733764,129,1,66,25438.929253207873,220
-21.687411074026624,2.2356272161466046,2.485341833927457,1.1235322676360375,134,1,71,28163.929253207873,218
-16.896136027068874,2.234840922475793,2.491797754319676,1.0690197695701245,136,1,64,31063.92925320787,209
-12.80677512967566,2.2413453921195003,2.4982732240687477,1.064299205602085,137,1,64,21899.64069636493,189
-14.156500547398561,2.2348591967505675,2.4893929572433806,0.8151158127587737,136,1,56,24774.64069636493,237
-10.190238289851923,2.23148338738812,2.473126567608418,0.9050078193393791,135,1,59,27574.64069636493,197
-11.203815923209213,2.2234971991569528,2.461487948508825,0.7230629899801342,139,1,56,30399.64069636493,236
-8.543021812202527,2.22325023102121,2.4685696926818586,0.8094606462728292,146,1,65,19894.394170434574,196
-10.427422485360058,2.232280295493144,2.462724459817126,0.5822443940442136,150,1,55,21919.394170434574,259
