Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.70771198394876,2.2688658940170394,2.377384262835841,4.4802439810075345,35,0,0,107801.78249727435,140
88.33657102570974,2.250392517521111,2.410170950269239,2.13750750954307,51,0,0,96682.70281952154,300
193.57342456776516,2.2345461920374916,2.444350509977817,2.217199999690965,59,0,3,82825.69536395998,206
275.00725637948153,2.2391230386320715,2.4447683102671376,1.3310680141004916,69,0,27,68921.31783384277,300
-2154.949855965649,2.234329119260306,2.4521881163906785,1.6262856988311387,78,0,29,53203.94230926034,249
-2573.531008300052,2.231291004714066,2.4478205347085775,1.2079225331770624,88,1,49,37429.19302943212,300
-398.73317790955304,2.2259583928797966,2.453611517921898,1.3351149933798983,96,1,56,20531.17784399987,275
-414.7378397784859,2.222147372714938,2.4499394865238755,1.1555312546226508,105,1,74,20081.17784399987,300
-135.5121076700894,2.2224060609349974,2.4465064588972,1.3848347997835972,118,1,63,20231.17784399987,253
-83.8266337511333,2.218223041679776,2.440115544122466,1.308914785870978,128,2,86,21331.17784399987,255
-45.82891757194544,2.22024062029543,2.4338649952243663,1.3441532282794615,135,2,73,22931.17784399987,225
-34.978707159544626,2.217485253143473,2.4287336481161956,1.2131160315557392,143,2,86,25056.17784399987,234
-24.51936978890138,2.219989542346924,2.4367779359470014,1.1817434516957377,145,3,63,27556.17784399987,216
-20.04643208167157,2.2177774219957587,2.4447334618471452,1.08757018835744,148,3,69,30281.17784399987,219
-13.607040264933122,2.2184697171261876,2.451650059174469,1.1229907152791216,155,3,54,20881.598950941057,183
-15.596119433688452,2.2238118523298684,2.455319084903416,0.8396822602769942,158,3,63,23581.598950941057,239
-11.354215403485734,2.217267429479188,2.4517140305913383,0.9161598822725915,162,4,55,26431.598950941057,202
-11.62700296331758,2.2133692923350807,2.4693815866724314,0.7784652619140412,161,4,59,29206.598950941057,229
-8.689103043368604,2.217014792755254,2.477796879474544,0.8566142050100842,160,4,56,19244.627059148454,189
-11.155625421064935,2.217331894660085,2.462556311154627,0.5914127245630239,160,3,56,21619.627059148454,263
-8.38173869846522,2.2265409017667817,2.4677739177633553,0.7120918765301205,160,3,54,23619.627059148454,215
-8.75184584428884,2.228367305333547,2.4641504426517558,0.5974178338574293,161,5,57,25819.627059148454,242
-7.480750379364684,2.231832621364087,2.4649351600143845,0.6331392105026495,164,5,59,28019.627059148454,221
-7.324954332975687,2.236440027323217,2.47165852282183,0.5728811890506831,168,5,56,30494.62705914845,233
-5.617412000348344,2.2247330825175653,2.4522156075310715,0.6665975005274252,167,5,68,20507.961452390682,186
-7.074050264000586,2.220015777079255,2.4509213302905706,0.47312548915689834,165,5,54,22932.961452390682,254
-4.881201998698572,2.219020984457061,2.461867534065976,0.6197525460590328,167,4,67,25607.961452390682,186
-5.926661577739657,2.218774943839539,2.4607268963063698,0.47104526883421455,172,5,60,28532.961452390682,239
-4.001008927112978,2.2199105194094684,2.4603940639851163,0.6124857944762117,173,5,77,19097.691055319017,167
-5.7392449943566115,2.2129612488399686,2.451578328217331,0.39129275927123053,172,5,56,21897.691055319017,256
-4.036621566267557,2.2153955578199858,2.4635592429048407,0.5249695317457793,171,5,90,24547.691055319017,189
-4.9771525107869286,2.2152226944043845,2.4679522739241455,0.3936119144386317,172,5,64,27297.691055319017,243
-4.259505541356238,2.219217767110437,2.460953427070545,0.44086173975113674,174,5,86,29597.691055319017,217
-4.101127579538341,2.223367868731496,2.461425276204733,0.4266106898817929,178,5,63,19266.12599878009,211
-4.537582513019952,2.2153110789074293,2.456619641366821,0.3596683734818,177,4,93,21416.12599878009,250
-3.5949399639348685,2.224163299916442,2.4608028053240303,0.4174987405455913,175,4,59,23891.12599878009,205
-3.7669283984802187,2.229885097562704,2.472149066435222,0.383112429258864,172,4,89,26516.12599878009,224
-3.336298021991425,2.2246666627089313,2.461492114972377,0.3924327943111797,170,3,65,29241.12599878009,206
-3.342321382682605,2.2219696203122967,2.4619510488607843,0.38569294160804457,172,2,93,19481.132514503297,208
-3.5468378916250423,2.225387262042306,2.4505854908449813,0.3271148632598457,169,2,63,21956.132514503297,234
-3.015269023341891,2.2263814380392586,2.458297035248115,0.3699428576092636,171,1,84,24656.132514503297,204
-3.167998281187608,2.22470012199033,2.445950659160691,0.32730446662109497,167,1,62,27431.132514503297,223
-2.88931926120425,2.2233024945247593,2.4532288732693126,0.34684466871469943,171,1,78,30006.132514503297,208
-2.909822869486295,2.221025069052396,2.455950531674635,0.32740249764083307,170,1,61,20041.494060117508,211
-3.2110138144566536,2.215149857527166,2.448210725204998,0.2820012210855828,169,1,75,22316.494060117508,244
-2.7402934200249356,2.2131826659223526,2.4538974383092573,0.3111327544905337,173,2,59,24841.494060117508,215
-2.81371452450638,2.2129215842927823,2.4657431763126634,0.28888703583708986,175,2,62,27616.494060117508,228
-2.528479021144287,2.212924960197718,2.454594561505443,0.30476840770022057,175,2,59,30266.494060117508,210
-2.467492471429094,2.218032243288323,2.452634116698354,0.3076273708730339,178,2,66,20501.81070037178,204
-2.708340183981255,2.219622761895007,2.461428865187536,0.2596958826418088,176,3,61,22976.81070037178,236
-2.310184090699944,2.217628884309045,2.4592529714505065,0.29187778457566266,178,3,64,25726.81070037178,206
-2.369422157467275,2.205990255996365,2.4561824811546784,0.27328653732651603,182,3,66,28701.81070037178,218
-2.035978022190471,2.2099413301009747,2.459926620897051,0.30284890176116,186,2,66,19333.45895390574,186
-2.6529814975317048,2.2197750090362907,2.460520382370157,0.21937073245905375,188,3,62,21683.45895390574,253
-2.0022936606588386,2.2131779408711125,2.4594568129471606,0.2796818644550578,186,4,71,24283.45895390574,196
-2.3850115186443523,2.220553131007272,2.4484170690865046,0.2284930403113453,184,4,61,26858.45895390574,237
-2.0528488867821917,2.2165476555122905,2.4548353671023797,0.253461102305054,180,4,67,29508.45895390574,212
-1.9153950482555897,2.2190893532667304,2.458576865953294,0.26412458903410385,183,6,59,20055.132161313,194
-2.2540579218550536,2.2204883252412864,2.449454126790946,0.2153636907249667,179,6,76,22555.132161313,241
-1.9089061973292654,2.2248430860208437,2.450610709101423,0.24548193543609037,174,6,57,25105.132161313,205
-2.1080512138767933,2.221612674212791,2.451038637338512,0.21871456706533327,173,6,77,27680.132161313,232
-1.9050405311534742,2.2245624061158593,2.4315978492099015,0.229106104811306,178,6,64,30305.132161313,214
-1.8552342639193815,2.2219953356341153,2.4486443715777484,0.2356088838477714,177,6,79,20303.993833185723,205
-2.1047138998325843,2.225122815953221,2.4492733219235223,0.19134922658749928,177,6,75,22803.993833185723,246
-1.6763416623739096,2.2292776391060625,2.4492906534904453,0.2364499364088024,180,6,78,25353.993833185723,196
-1.963283735481064,2.229540219035999,2.4587536280398,0.1895742215719698,180,6,67,28203.993833185723,240
-1.6142477603667642,2.2263459712614533,2.464743078415842,0.22549550667855855,178,6,77,30928.993833185727,200
-1.691065661445763,2.2288343422309818,2.4664366594934664,0.21327224535716885,178,6,68,21430.307659559046,207
-1.894763868651708,2.2279229660059237,2.462834117375696,0.18257977958626248,174,5,79,23805.307659559046,242
-1.5840445101793654,2.227791575317885,2.4518952142269277,0.21262725007613684,171,5,66,26280.307659559046,203
-1.7573480772333068,2.2267383837119064,2.4394363723419414,0.1840182049834321,173,4,68,29030.307659559046,233
-1.3685892784210054,2.222780379567444,2.434179245572759,0.22820772757534652,172,4,67,19398.76127182048,177
-1.904273898815117,2.2283265374165118,2.4466069724653234,0.15595225011696656,168,4,69,22048.76127182048,260
-1.3296709497379333,2.2249879080413035,2.4663747250698367,0.21652551557939156,175,4,66,24798.76127182048,183
-1.6961956646463026,2.221910245135119,2.4778144238395963,0.16741816600457698,173,3,70,27848.76127182048,240
-1.3933522284456816,2.2207113977078228,2.470629397519653,0.198012134955645,166,3,66,30573.761271820476,199
-1.4853077021035541,2.222830929448964,2.47361396162243,0.18708442075212453,166,3,64,20986.05920239504,210
-1.6193040840350312,2.2201108218818755,2.4721459382978717,0.15971107085892816,170,3,58,23511.05920239504,240
-1.332606116754366,2.2238746675066747,2.4683208150073326,0.19341247184511592,169,3,70,26086.05920239504,197
