Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.32760838753957,3.315649706320837,2.669621195146078,2.519484455491283,0,0,2,107345.2114109842,152
81.46344157836205,3.1239084987436923,2.6290662389138033,1.6854954010404126,0,0,18,99509.41493607819,300
153.50188412430688,2.940766893386988,2.6001972135351363,1.7788046745991057,0,0,36,89414.3710952764,206
218.74404570881285,2.7737567003826276,2.580978422950613,1.2846371715793117,0,0,58,79261.26181606659,300
697.8452378040648,2.6327904316215767,2.5520749726501646,1.3705491124924418,0,0,67,66918.60953402199,258
807.351650748765,2.516313804212634,2.5418965902272337,1.1685629278512748,2,0,45,54503.08572915698,300
3059.1266301729315,2.4301338127874765,2.5379897124057362,1.2121389678719101,3,0,28,54680.53530350885,288
-505.0100240915607,2.378355367032854,2.5229327753872606,1.2354386955647254,7,0,13,55818.47907232574,273
-208.57438816943068,2.3394335312679084,2.520583641892609,1.2188778869579628,12,0,11,58002.0958632107,269
-94.76457689154597,2.3287097655838114,2.5254852224601922,1.2315200448348205,15,0,19,47419.88676868476,243
-88.36616480598263,2.3119887120232194,2.5075741541013707,1.075712878504526,23,0,31,49959.2457327189,279
-49.49326453732696,2.2939327896973625,2.5125962347013213,1.1314550122148053,26,0,48,53235.409099067794,232
-43.18457245450938,2.2772580490694416,2.506237795479343,0.9795518426789019,35,0,51,57112.066448606995,253
-29.199254647385324,2.266361941270885,2.4969909946387667,0.9740004874044573,47,1,62,48105.82232863365,220
-29.85211192472903,2.267115218729609,2.489200424497032,0.824316422527196,54,2,56,52194.16263905851,259
-21.65228926001633,2.263442034213557,2.485706263619825,0.847684029412795,62,2,45,56447.64008640688,224
-21.127207471421762,2.261105388425352,2.4800305973597703,0.7531725974272141,68,2,23,60958.78500416884,247
-18.416757980064077,2.265634882542963,2.478142907531668,0.7509511838926027,74,2,23,51528.723456740685,237
-19.779227189253074,2.267231053594318,2.481612471192954,0.6606686694582656,80,2,18,54398.01435124739,273
-16.651765572732863,2.2620464619383935,2.503383294214957,0.6921994202676813,83,2,28,57095.81493451658,248
-16.54064892183781,2.2571787169705724,2.4944757081328643,0.6534363983459557,85,2,36,46659.55468907163,259
-15.914408974982527,2.24998511835298,2.4929996983929343,0.6134234770708564,90,2,40,48883.977422771706,266
-14.490949257705095,2.2511960538468014,2.493444161937437,0.6088243515512997,93,2,48,51306.124046067634,255
-14.336097849399588,2.2498402042178443,2.490502993168947,0.559087426715135,98,3,47,54115.426737588816,269
-11.884459548663246,2.2460962081295386,2.494798093536328,0.5891297630312533,99,3,42,57033.6766037681,236
-12.613624349870806,2.2450855998724655,2.4887006681494928,0.5333472808258615,104,3,37,46984.70049346209,262
-11.594427552748904,2.253473613898669,2.486657349937877,0.5374379436224997,104,3,32,49647.501954455416,254
-10.905735188938111,2.254188327586259,2.4806022871879834,0.5291535391050094,106,3,24,52901.72606300974,252
-10.0006539853699,2.2521823725265633,2.487729800437314,0.5191532099528041,107,3,24,56723.75107601039,246
-9.400868768645182,2.2553261305452756,2.483391623282378,0.5115217388066352,108,2,35,60768.72945205677,243
-8.855496227634498,2.2546489526518605,2.4768988895847235,0.49849779978985004,111,2,40,51443.27579633311,238
